,stadium,kitchen,beach,hotel,bank,school,office,gym,playground,spa,nightclub,restaurant,pharmacy
stadium,0.99999994,0.21300277,0.43342572,0.5265217,0.26646158,0.39046112,0.4121856,0.5118918,0.4632701,0.3161644,0.3714236,0.31227806,0.065490365
kitchen,0.21300277,1.0,0.44955114,0.51798296,0.16548909,0.40778562,0.4564028,0.599387,0.59948206,0.36205986,0.28362727,0.70331395,0.4701696
beach,0.43342572,0.44955114,1.0,0.6928607,0.20040047,0.49604595,0.46504924,0.46816933,0.63695323,0.45943165,0.49378973,0.58509505,0.2507605
hotel,0.5265217,0.51798296,0.6928607,1.0,0.498142,0.4682915,0.6066936,0.49954048,0.49204096,0.5569804,0.6621543,0.8012507,0.35228214
bank,0.26646158,0.16548909,0.20040047,0.498142,1.0,0.357986,0.62761164,0.05250794,0.00046981176,0.2856181,0.19096403,0.3760306,0.2605171
school,0.39046112,0.40778562,0.49604595,0.4682915,0.357986,1.0,0.5885722,0.579044,0.5169703,0.13569221,0.27972963,0.40387872,0.52969545
office,0.4121856,0.4564028,0.46504924,0.6066936,0.62761164,0.5885722,1.0000001,0.38490522,0.25892645,0.28350243,0.25066784,0.5178521,0.37926072
gym,0.5118918,0.599387,0.46816933,0.49954048,0.05250794,0.579044,0.38490522,1.0,0.7434387,0.30685148,0.42428392,0.4926881,0.49727494
playground,0.4632701,0.59948206,0.63695323,0.49204096,0.00046981176,0.5169703,0.25892645,0.7434387,1.0,0.18981104,0.5008251,0.46219978,0.29626095
spa,0.3161644,0.36205986,0.45943165,0.5569804,0.2856181,0.13569221,0.28350243,0.30685148,0.18981104,1.0,0.28572428,0.53372985,0.3646038
nightclub,0.3714236,0.28362727,0.49378973,0.6621543,0.19096403,0.27972963,0.25066784,0.42428392,0.5008251,0.28572428,1.0,0.6338882,0.16529864
restaurant,0.31227806,0.70331395,0.58509505,0.8012507,0.3760306,0.40387872,0.5178521,0.4926881,0.46219978,0.53372985,0.6338882,1.0,0.4709632
pharmacy,0.065490365,0.4701696,0.2507605,0.35228214,0.2605171,0.52969545,0.37926072,0.49727494,0.29626095,0.3646038,0.16529864,0.4709632,1.0
